OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
150635,K-LOWE01,LOWER GALT ROAD RESERVE,GALT ROAD,WILLOW VALE,13699,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,fe608f4b-1296-4708-b248-992227129fc5
150636,K-HERBFE,HERB FENNELL & NOEL WATSON MEMORIAL PICNIC AREA,2730 GOLD COAST HIGHWAY,BROADBEACH,4211,OPEN SPACE PARKS,CITY RECREATION PARK,GCCC,644f086c-cd5a-4e81-aef6-255355482d36
150637,K-BRADYP,BRADY PARK,12A TALLARA STREET,COOMBABAH,10869,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,4a36ccb5-648e-45db-9c2e-4bd333beffd0
150638,K-BRAEWO,BRAEWOOD RESERVE,44 BRAEWOOD DRIVE,CURRUMBIN VALLEY,89880,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,affb26d7-d7eb-4d09-a878-1d6d1a561476
150639,K-BREAKS,BREAKSPEAR ROAD RESERVE,99A CRESTWOOD DRIVE,MOLENDINAR,2706,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,db4f37e6-315c-40fe-ac02-679c96eab48d
150640,K-BREYNI,BREYNIA COURT RESERVE,4A BREYNIA COURT,ELANORA,1834,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,e4ecf2a0-9771-4c7d-88e3-aca0f092bf2a
150641,K-CODRIN,CODRINGTON PARK,1A CODRINGTON CIRCUIT,PACIFIC PINES,6443,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,dd8a409d-cf2a-480f-98e6-a3c98667cc60
150642,K-COLLEG,COLLEGE CLOSE RESERVE,22A ROE STREET,UPPER COOMERA,2108,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,ec0453d3-23b0-4a46-8ff4-cf4bf4d247c4
150643,K-COLL03,COLLINGROVE PARK,8A COLLINGROVE CIRCUIT,PIMPAMA,1472,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,15e3e10d-fe91-4d9d-bfb5-ec360f94c94f
150644,K-HARR01,HARRIER DRIVE BUFFER,BERMUDA STREET,BURLEIGH WATERS,16838,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,9a885aea-74a8-4d6f-9ab3-c29a40d6c5ba
150645,K-HARRIS,HARRIS PARK,7 HARRIS STREET,LABRADOR,3380,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,de662266-8a27-484a-8fda-f1a0ca64b3c1
150646,K-FINN01,FINNEGAN ENVIRONMENTAL RESERVE,ANDROMEDA DRIVE,COOMERA,12475,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,bf58af99-d465-461b-9c0f-eed51249d692
150647,K-FINN01,FINNEGAN ENVIRONMENTAL RESERVE,ANDROMEDA DRIVE,COOMERA,210514.65052385,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,d211cc2f-5d60-4678-a661-dc617dbc6f2e
150648,K-FINN02,FINNEGAN ENVIRONMENTAL RESERVE NORTHERN SECTION,CELESTIAL WAY,COOMERA,78703.09,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,3eb78283-cd2d-4871-849f-ba96153d6f04
150649,K-TUGUNP,TUGUN PARK,414 COOLANGATTA ROAD,TUGUN,13548,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,5cbca72a-7322-403d-ab02-3212d6e80f68
150650,K-TUGUNQ,TUGUN QUARRY RESERVE,32 IRENE STREET,TUGUN,26865,UTILITY RESERVE,UTILITY RESERVE,GCCC,7f30fb5e-6cf0-49ca-ac37-028632cb3ce9
150651,K-EMERAL,EMERALD LAKE WETLANDS,NIELSENS ROAD,CARRARA,141718,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,b5b09b4e-38f6-4cc6-8e5c-5c5bf2835595
